ticker,symbol,yearReport,lengthReport,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3
ACB,ACB,2025,4,,,,0.9078620584895634,9.853292179169513,,,,,,,0.0027145144565547245
ACB,ACB,2025,3,,,,0.9036259771101208,9.376240090575449,,,,,,,0.00451277499185767
ACB,ACB,2025,2,,,,0.9065808681525882,9.704445440933581,,,,,,,0.005228647487328414
ACB,ACB,2025,1,,,,0.9023471335696273,9.24035480528375,,,,,,,0.004125121599997913
ACB,ACB,2024,4,,,,0.9034014732655069,9.352124755986814,,,,,,,0.005260803238008257
ACB,ACB,2024,3,,,,0.8985657590023697,8.858603861622646,,,,,,,0.0049786856690727625
ACB,ACB,2024,2,,,,0.9028261039314197,9.290829538153455,,,,,,,0.005805786232618884
ACB,ACB,2024,1,,,,0.8971663124459602,8.72443976079817,,,,,,,0.005369764761944172
ACB,ACB,2023,4,,,,0.9012847869393185,9.13015085511984,,,,,,,0.0055736076221352855
ACB,ACB,2023,3,,,,0.8969556438778892,8.704558673887666,,,,,,,0.006225932346467757
ACB,ACB,2023,2,,,,0.9003520976459454,9.035334175394313,,,,,,,0.006127576242424688
ACB,ACB,2023,1,,,,0.8976967301698564,8.774858630230705,,,,,,,0.006765166660642411
ACB,ACB,2022,4,,,,0.9038640424185106,9.401935188010718,,,,,,,0.0047222161240222365
ACB,ACB,2022,3,,,,0.9006712389732959,9.067577503872764,,,,,,,0.006392629241768466
ACB,ACB,2022,2,,,,0.9042440425322896,9.443214463572229,,,,,,,0.0072519434442177315
ACB,ACB,2022,1,,,,0.9088157182387742,9.966802399327864,,,,,,,0.006218896061396662
ACB,ACB,2021,4,,,,0.9149233306851593,10.754103775493721,,,,,,,0.004601427246110855
ACB,ACB,2021,3,,,,0.9113651988742213,10.282250169218893,,,,,,,0.004386765288219137
ACB,ACB,2021,2,,,,0.9143171026027459,10.670940530449975,,,,,,,0.00549197940589469
ACB,ACB,2021,1,,,,0.915621597469691,10.851373929967398,,,,,,,0.005524626498781802
ACB,ACB,2020,4,,,,0.9202570024368923,11.540286050930199,,,,,,,0.005735366349901918
ACB,ACB,2020,3,,,,0.9213872227760487,11.720578451912587,,,,,,,0.004954221726241453
ACB,ACB,2020,2,,,,0.9222895141607119,11.868276258986272,,,,,,,0.003835198581552061
ACB,ACB,2020,1,,,,0.9240767561459899,12.171196977869682,,,,,,,0.003967652711216446
ACB,ACB,2019,4,,,,0.927636343830069,12.819091695031371,,,,,,,0.004039589758444532
ACB,ACB,2019,3,,,,0.9291846142656097,13.121225064715937,,,,,,,0.004325292100973313
ACB,ACB,2019,2,,,,0.9320857433886837,13.724448884468446,,,,,,,0.004367558523578218
ACB,ACB,2019,1,,,,0.9333434487991662,14.002276325203738,,,,,,,0.004067535183398074
ACB,ACB,2018,4,,,,0.936180450730754,14.669179921361312,,,,,,,0.004145439421342834
ACB,ACB,2018,3,,,,0.9375953769779726,15.02445382366979,,,,,,,0.004186427266219053
ACB,ACB,2018,2,,,,0.9409008490641237,15.920716865882207,,,,,,,0.00425176966915577
ACB,ACB,2018,1,,,,0.9427148135795765,16.456519957199227,,,,,,,0.003816795802448397
ACB,ACB,2017,4,,,,0.9436161170501048,16.735564627371218,,,,,,,0.0020794459130972325
ACB,ACB,2017,3,,,,0.9429322209475204,16.52302291421571,,,,,,,0.0020231920652073495
ACB,ACB,2017,2,,,,0.9440106061247305,16.860525552888692,,,,,,,0.001888145030218284
ACB,ACB,2017,1,,,,0.9421315057920765,16.280560237267714,,,,,,,0.0019009794624478716
ACB,ACB,2016,4,,,,0.939820852349848,15.61705157097676,,,,,,,0.0014051513509169174
ACB,ACB,2016,3,,,,0.9400296814456142,15.674915593338394,,,,,,,0.0014585858500236939
ACB,ACB,2016,2,,,,0.9396411564159943,15.567580500581142,,,,,,,0.0015900709327731368
ACB,ACB,2016,1,,,,0.9375636492782565,15.016310825990509,,,,,,,0.0014784350847822788
