ticker,yearReport,lengthReport,symbol,report,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Dividends received,Profits from other activities,Net Cash Flows from Operating Activities before BIT,Payment from reserves,_Increase/Decrease in receivables,_Increase/Decrease in payables,Profit/Loss from disposal of fixed assets
FPT,2014,3,FPT,cash_flow,599424263440.0,137792133402.0,15342626230.0,-22548299293.0,-29663208447.0,49194248354.0,,749541763686.0,-228249315818.0,-272261174419.0,455396298036.0,-117864124869.0,-54488004048.0,-99663915763.0,31355915266.0,-26802618523.0,436964823548.0,22183737780.0,-9333743844.0,738442371576.0,-167284134878.0,0.0,0.0,-286932470841.0,297075759793.0,8741820000.0,0.0,4967257368193.0,-3653150492800.0,0.0,-342578097600.0,980270597793.0,1714311181134.0,2392462293952.0,0.0,4106773475086.0,,,,,,,
FPT,2014,2,FPT,cash_flow,645004484376.0,120113047721.0,18427604347.0,-17589290282.0,-80092505668.0,47212296680.0,,733075637174.0,-343216031512.0,-93865296855.0,747255188897.0,-119107191588.0,-22812053814.0,-86784048690.0,-31355915266.0,19884497883.0,803074786229.0,-341728909614.0,13558931610.0,0.0,-295823624260.0,0.0,0.0,58932070948.0,-565061531316.0,0.0,0.0,3890648829553.0,-4446827528822.0,0.0,-412421260800.0,-968599960069.0,-730586705156.0,3123048999108.0,0.0,2392462293952.0,,,,,,,
FPT,2014,1,FPT,cash_flow,581570638467.0,125129723218.0,5696461658.0,1848049687.0,-91916924789.0,35506573224.0,,657834521465.0,281123471776.0,-151107971432.0,-834275974220.0,-17040620229.0,-60214999272.0,-156248625507.0,0.0,-19884497883.0,-299814695302.0,-209962055425.0,26591382.0,0.0,581630154928.0,0.0,0.0,24761194582.0,396455885467.0,6007090000.0,0.0,4206686343073.0,-3937244879795.0,0.0,-11888350.0,275436664928.0,372077855093.0,2750971144015.0,0.0,3123048999108.0,,,,,,,
FPT,2013,4,FPT,cash_flow,676391725018.0,124987009530.0,26872718020.0,-3353596393.0,-182914885631.0,33207510570.0,,675190481114.0,-428461111465.0,-551145055543.0,1140070561798.0,-20124757516.0,-35724582290.0,-86916755594.0,0.0,32027089025.0,724915869529.0,-450494339426.0,-1319561201.0,-471919135990.0,0.0,0.0,0.0,24694096042.0,-899038940575.0,0.0,0.0,3779656410063.0,-3213938082963.0,0.0,-196417690829.0,369300636271.0,195177565225.0,2292011717347.0,0.0,2487189282572.0,,,,,,,
FPT,2013,3,FPT,cash_flow,562529454864.0,113860144779.0,5009847092.0,-539307554.0,-83199655657.0,33765560183.0,,631426043707.0,-153746381475.0,179447013310.0,46737060160.0,-21682389239.0,-16199416872.0,-132745340507.0,0.0,8054276995.0,541290866079.0,-220895792996.0,1613841574.0,152754453885.0,-45920974281.0,0.0,0.0,45337980738.0,-67110491080.0,-150000000.0,0.0,3600721358401.0,-3468412404695.0,0.0,-470339465825.0,-338180512119.0,135999862880.0,2156011854467.0,0.0,2292011717347.0,,,,,,,
FPT,2013,2,FPT,cash_flow,702324732688.0,98098457698.0,40134654614.0,-131904094.0,-95762269436.0,29936292950.0,,774599964420.0,-540963229017.0,-20075463790.0,123602940934.0,7885504948.0,-35714194995.0,-86253225725.0,0.0,27985123528.0,251067420303.0,-112727197387.0,-1983389560.0,-545024006229.0,0.0,0.0,0.0,40349907194.0,-619384685982.0,17577510000.0,92960000.0,3438588440871.0,-2776577382536.0,0.0,-83556770894.0,596124757441.0,227807491762.0,1928204362705.0,0.0,2156011854467.0,,,,,,,
FPT,2013,1,FPT,cash_flow,574384079642.0,107156330415.0,-87925448.0,-11229251451.0,-56002884246.0,35581809119.0,,649802158031.0,441924007870.0,-305723782499.0,-518341345105.0,-30406645082.0,-21360679290.0,-134876535662.0,0.0,-42983214952.0,38033963311.0,-270263686503.0,2320280807.0,-150038784295.0,0.0,0.0,0.0,9009216200.0,-408972973791.0,0.0,-122380000.0,2765492900617.0,-2785142169522.0,0.0,0.0,-19771648905.0,-390710659385.0,2318915022090.0,0.0,1928204362705.0,,,,,,,
FPT,2007,2,FPT,cash_flow,299510007843.0,39468065547.0,0.0,-437664765.0,-1252457408.0,11091556679.0,,348379507896.0,-181137187851.0,-100733291253.0,43751164363.0,-9899021298.0,-11091556679.0,-24486347039.0,0.0,-22051330762.0,42731937377.0,-73847803994.0,1252457408.0,0.0,0.0,-50000000000.0,0.0,0.0,-122595346586.0,4884000000.0,-18000000.0,1361800535893.0,-1116658462964.0,0.0,0.0,250008072929.0,170144663720.0,511180166408.0,-41928201.0,681282901927.0,,,,,,,
FPT,2007,1,FPT,cash_flow,206721851604.0,36931876042.0,0.0,50415764.0,-1084669460.0,9609988640.0,,252229462590.0,225909260634.0,-253760281562.0,-90846866916.0,6551438913.0,-9609988640.0,-37778583300.0,0.0,-23675071025.0,69019370694.0,-69180808840.0,1084669460.0,0.0,0.0,-9500000000.0,0.0,0.0,-77596139380.0,2500000000.0,-22500000.0,1475134222492.0,-1589091804963.0,0.0,-38219326167.0,-149699408638.0,-158276177324.0,669451697346.0,4646386.0,511180166408.0,,,,,,,
GAS,2025,4,GAS,cash_flow,1742972889113.0,701135561827.0,1339371543983.0,-15888788744.0,-457190006671.0,54245962520.0,,3364647162028.0,-1590758525806.0,-2077928188593.0,845953126075.0,205880242515.0,-100876608869.0,-66554877312.0,-8010861999.0,256856073649.0,829207541688.0,-820343112200.0,0.0,-12857312127882.0,12139363434888.0,0.0,0.0,392604897371.0,-1145686907823.0,0.0,0.0,233920892674.0,-571059973698.0,0.0,-4110224595170.0,-4447363676194.0,-4763843042329.0,11641062000554.0,-750676140.0,6876468282085.0,,,,,,,
GAS,2025,3,GAS,cash_flow,3205974288123.0,765505523929.0,15705105236.0,-5958148819.0,-365321685512.0,49580237152.0,,3665485320109.0,-2865458384227.0,843328518943.0,3043532649576.0,-70029694213.0,-8339047702.0,-806833433849.0,-8868742763.0,-129500669740.0,3663316516134.0,-489687694546.0,-2664520.0,-16164300000000.0,14406400000000.0,-30167798761.0,16000000000.0,535491012093.0,-1726267145734.0,10167798761.0,0.0,494201892975.0,-178961053482.0,0.0,-999214099609.0,-673805461355.0,1263243909045.0,10377145910363.0,672181146.0,11641062000554.0,,,,,,,
GAS,2025,2,GAS,cash_flow,5981602520823.0,696239333549.0,-1629478535211.0,-13585871429.0,-347585362600.0,57658298922.0,,4744834849807.0,-2684294930290.0,-288287933333.0,3619908521556.0,251446769577.0,-106437910626.0,-664935795811.0,-149855457.0,-134720013472.0,4737363701951.0,-525855616911.0,177802670000.0,-8299184423365.0,6316851441180.0,0.0,-29479305449.0,208048088518.0,-2151817146027.0,-10167798761.0,0.0,190515029527.0,-557250470931.0,0.0,0.0,-376903240165.0,2208643315759.0,8166654567957.0,1848026647.0,10377145910363.0,,,,,,,
GAS,2025,1,GAS,cash_flow,3428885485800.0,732605346412.0,101492705227.0,-14201410467.0,-262154113829.0,54571826113.0,,4041199839256.0,2491692706425.0,1662552003683.0,-3059344410062.0,-33043211073.0,-4796095694.0,-864411306762.0,149855457.0,-85528297888.0,4148471083342.0,-494982618712.0,-177800000000.0,-10433963434888.0,9179524992171.0,0.0,29479305449.0,202969089372.0,-1694772666608.0,10167798761.0,0.0,190256839481.0,-54514671514.0,0.0,0.0,145909966728.0,2599608383462.0,5567998965715.0,-952781220.0,8166654567957.0,,,,,,,
GAS,2024,4,GAS,cash_flow,2558297020087.0,595304253998.0,689438656677.0,-29752749306.0,-346885827966.0,57220327241.0,,3523621680731.0,-469957148515.0,-2248705197592.0,1592534884442.0,-29135789186.0,-109810675459.0,-633989018495.0,0.0,49764016302.0,1674322752228.0,-672026764542.0,1386025703.0,-7513263639155.0,12818276757065.0,0.0,3084888.0,375645822228.0,5010021286187.0,0.0,0.0,97442499784.0,-430349061780.0,0.0,-12872476202356.0,-13205382764352.0,-6521038725937.0,12082560123616.0,6462033789.0,5567983431468.0,,,,,,,
GAS,2024,3,GAS,cash_flow,3203960587307.0,821200801165.0,520787864205.0,723030500.0,-314603126496.0,68611895014.0,,4300681051695.0,2984236495371.0,410378636519.0,-4032691288588.0,-59844917225.0,-39303182634.0,-814710541363.0,0.0,-252973136768.0,2495773117007.0,-369431329432.0,0.0,-17158909136106.0,20724294570779.0,0.0,-3084888.0,677139515961.0,3873090536314.0,0.0,0.0,67883127006.0,-902532054885.0,0.0,-1000000000000.0,-1834648927879.0,4534214725442.0,7555301267056.0,-6955868882.0,12082560123616.0,,,,,,,
GAS,2024,2,GAS,cash_flow,4239243258874.0,608153285247.0,896881542008.0,15627519510.0,-406665646125.0,84360661851.0,,5437600621365.0,-3444389095922.0,-235851105642.0,2485201576869.0,21199431699.0,-164685910723.0,-846339362972.0,-64530455195.0,39896299917.0,3228101999396.0,-837763118814.0,0.0,-12278647441599.0,12287255577970.0,0.0,0.0,448714973610.0,-380440008833.0,0.0,0.0,1672180243950.0,-3055859158126.0,0.0,13137103066.0,-1370541811110.0,1477120179453.0,6074928497007.0,3252590596.0,7555301267056.0,,,,,,,
GAS,2024,1,GAS,cash_flow,3170606630107.0,703051463625.0,2334337365.0,14473141642.0,-435996602413.0,108404069269.0,,3562873039595.0,-3619274928562.0,1412045477694.0,885561260236.0,-112033720268.0,-20223382419.0,-337061440973.0,64530455195.0,-199403949665.0,1637012810833.0,-46235358964.0,0.0,-9693674570779.0,8406404557761.0,0.0,0.0,299143342281.0,-1034362029701.0,0.0,0.0,25397014510.0,-214114644176.0,0.0,-13137103066.0,-201854732732.0,400796048400.0,5668895214949.0,5237233658.0,6074928497007.0,,,,,,,
