ticker,yearReport,lengthReport,Minority Interest,symbol,report,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Investment in joint ventures,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Other Assets,Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Other Reserves,Convertible bonds (Bn. VND),Leased assets
HPG,2017,1,,HPG,balance_sheet,21530442705748.0,2380437136128.0,5674127511304.0,2498830711892.0,10509719326031.0,467328020393.0,15415383428223.0,2500000000.0,12458218120117.0,199737893149.0,48752875262.0,0.0,933877217571.0,36945826133971.0,15542328417312.0,14470323433267.0,1072004984045.0,21403497716659.0,21403497716659.0,11040562105687.0,0.0,104713866691.0,36945826133971.0,1047356998800.0,0.0,10653996774526.0,0.0,1156415747213.0,8428749560000.0,8428749560000.0,612200000000.0,973688394689.0,9012842223432.0,69677856046.0,728439631004.0,15702128365.0,20580399536.0,23080399536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2016,4,,HPG,balance_sheet,18169854347204.0,4558660713505.0,693498769815.0,2386926010205.0,10247213245079.0,283555608600.0,15056701779891.0,2500000000.0,12670104393719.0,202756917580.0,78864136876.0,0.0,849163482349.0,33226556127095.0,13372600227415.0,12431329890031.0,941270337384.0,19853955899680.0,19853955899680.0,9489760497926.0,0.0,105973657473.0,33226556127095.0,722329120353.0,0.0,10391513459256.0,125329020.0,1156415747213.0,8428749560000.0,8428749560000.0,522200000000.0,1036123955455.0,5938170638894.0,74833965964.0,647006412215.0,15702128365.0,22801827438.0,25301827438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2016,3,,HPG,balance_sheet,13826056759889.0,3282771484627.0,250497498639.0,2066481340275.0,7988920694672.0,237385741676.0,14642504279506.0,2500000000.0,12032301621293.0,204871489546.0,104676948589.0,0.0,872429083163.0,28468561039395.0,10400946595291.0,9375549655971.0,1025396939320.0,18067614444104.0,18067614444104.0,7968988008002.0,0.0,105384347195.0,28468561039395.0,822581112162.0,0.0,8208921229994.0,2268512645.0,891436091839.0,8428749560000.0,8428749560000.0,612200000000.0,267746613597.0,4988679516562.0,79990075881.0,656187845950.0,15702128365.0,14506182031.0,17006182031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2016,2,,HPG,balance_sheet,13663819692533.0,3052404764799.0,519618866361.0,1479562580203.0,8332618659016.0,279614822154.0,14011555187883.0,5000000000.0,11884794959889.0,193610884551.0,110269010218.0,0.0,818442226915.0,27675374880416.0,10149618840821.0,9172721750928.0,976897089893.0,17525756039595.0,17525756039595.0,8554019917353.0,0.0,77597403335.0,27675374880416.0,582384684717.0,0.0,8552332201189.0,2482093601.0,891436091839.0,7329514190000.0,7329514190000.0,600000000000.0,115487829109.0,5250888350226.0,85146185799.0,596144049693.0,15702128365.0,12019383954.0,17019383954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2016,1,,HPG,balance_sheet,11642970625581.0,2926138476017.0,831098188625.0,1705089375974.0,6033626509231.0,147018075734.0,13810667777221.0,5000000000.0,11318814491418.0,201989438046.0,113879529136.0,0.0,697909502758.0,25453638402802.0,10001984766658.0,9239506983566.0,762477783092.0,15451653636144.0,15451653636144.0,6528037015942.0,0.0,29228901295.0,25453638402802.0,458251826219.0,0.0,6274915888364.0,2271130000.0,891436091839.0,7329514190000.0,7329514190000.0,450000000000.0,264847386983.0,5997051668879.0,90302295716.0,518867864377.0,15702128365.0,11477883954.0,16477883954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2015,4,,HPG,balance_sheet,11921851107292.0,2374928605865.0,758094875121.0,1608182018775.0,6937821177071.0,242824430460.0,13587493983230.0,5000000000.0,8210630017361.0,192494292820.0,102545479271.0,0.0,709047816834.0,25509345090522.0,11042258145729.0,9995032101178.0,1047226044551.0,14467086944793.0,14467086944793.0,5549749512225.0,0.0,22876213661.0,25509345090522.0,390265827195.0,0.0,7208431796057.0,64254026.0,891436091839.0,7329514190000.0,7329514190000.0,739000000000.0,50112574555.0,6119017325257.0,91091275173.0,534253509879.0,15702128365.0,11485258954.0,16485258954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2015,3,,HPG,balance_sheet,12061988374463.0,2107094759286.0,966776464367.0,1968788052819.0,6810793303342.0,208535794649.0,12534926489246.0,0.0,8335625371250.0,190829191745.0,95973963372.0,0.0,785649619916.0,24596914863709.0,10532570871723.0,9327423129220.0,1205147742503.0,14064343991986.0,14064343991986.0,5362456063217.0,0.0,23779168780.0,24596914863709.0,751806391268.0,0.0,7037238319799.0,2348381729.0,674783632921.0,7329514190000.0,7329514190000.0,889000000000.0,67456978807.0,5894704004717.0,290963900005.0,422076829137.0,15702128365.0,11364921454.0,11364921454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2015,2,,HPG,balance_sheet,11258195697218.0,2022505414440.0,1034746859860.0,1937013887797.0,6133970086408.0,129959448713.0,11709431500752.0,0.0,8393607521880.0,193000715807.0,92972991543.0,0.0,847279226491.0,22967627197970.0,9725543208479.0,8303337387467.0,1422205821012.0,13109319294222.0,13109319294222.0,4431053034233.0,0.0,0.0,22967627197970.0,795134565077.0,0.0,6360369692266.0,2489062639.0,674783632921.0,7329514190000.0,7329514190000.0,1177072326185.0,56107718299.0,5316167649541.0,321336627499.0,460785330253.0,15702128365.0,8787096454.0,8787096454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2015,1,,HPG,balance_sheet,11503116480709.0,1453491349657.0,847156476686.0,1992830664670.0,7097489096674.0,112148893022.0,10401830751567.0,0.0,9271704369829.0,195172239869.0,74767387454.0,351709354993.0,501435081516.0,21904947232276.0,9424536729101.0,8199830139948.0,1224706589153.0,12359127256713.0,12359127256713.0,4657911056724.0,0.0,0.0,21904947232276.0,797434524930.0,0.0,7303021591293.0,3217840922.0,0.0,4886431750000.0,4886431750000.0,967072326185.0,50853634492.0,5528363856065.0,0.0,447037248407.0,15702128365.0,9507183602.0,7042317906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2014,4,,HPG,balance_sheet,11745429717382.0,2001780467705.0,531141791271.0,1719564145827.0,7385982501899.0,106960810680.0,10343675904462.0,0.0,9158124616833.0,197343763931.0,61184828523.0,382082082487.0,544940612688.0,22089105621844.0,10123759154194.0,9096774122246.0,1026985031948.0,11876791198334.0,11796575339376.0,4095359139387.0,80215858958.0,0.0,22089105621844.0,457068881547.0,0.0,7600703758252.0,3462313488.0,0.0,4819081750000.0,4819081750000.0,930863752151.0,158911796301.0,5816983436809.0,0.0,483218729903.0,57187691074.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
