ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,symbol,report,Provision for credit losses,Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,Operating Profit before Provision,Tax For the Year,EPS_basis
CTG,2015,2,0.0,10449777000000.0,1781473000000.0,0.0,,,,,,,,,,,-2403077000000.0,,,,,,2314611000000.0,-527471000000.0,0.0,1787140000000.0,-5667000000.0,1781473000000.0,CTG,income_statement,-1025872000000.0,10449777000000.0,-5521654000000.0,4928123000000.0,782866000000.0,-376316000000.0,406550000000.0,27681000000.0,15062000000.0,-64430000000.0,776447000000.0,-384695000000.0,391752000000.0,38822000000.0,5743560000000.0,3340483000000.0,-527471000000.0,0.0
CTG,2015,1,0.0,10291744000000.0,1245088000000.0,0.0,,,,,,,,,,,-2181783000000.0,,,,,,1563972000000.0,-315938000000.0,0.0,1248034000000.0,-2946000000.0,1245088000000.0,CTG,income_statement,-1510240000000.0,10291744000000.0,-5599318000000.0,4692426000000.0,435877000000.0,-164946000000.0,270931000000.0,37322000000.0,99377000000.0,-43233000000.0,605236000000.0,-420610000000.0,184626000000.0,14546000000.0,5255995000000.0,3074212000000.0,-315938000000.0,0.0
CTG,2014,4,0.0,10194690620246.0,1446590246126.0,2.0,,,,,,,,,,,-2794581954959.0,,,,,,1822348980368.0,-370907247449.0,0.0,1451441732919.0,-4851486793.0,1446590246126.0,CTG,income_statement,-1409264405204.0,10194690620246.0,-5843164204419.0,4351526415827.0,711783246352.0,-312239354489.0,399543891863.0,77280008323.0,76422880757.0,-20275202643.0,2406927889304.0,-1287919500392.0,1119008388912.0,22688957492.0,6026195340531.0,3231613385572.0,-370907247449.0,0.0
CTG,2014,3,0.0,10285783175200.0,1247708628236.0,0.0,,,,,,,,,,,-2773068791685.0,,,,,,1607459252169.0,-356044271821.0,0.0,1251414980348.0,-3706352112.0,1247708628236.0,CTG,income_statement,-775245756517.0,10285783175200.0,-5776430395742.0,4509352779458.0,546846586069.0,-299670315293.0,247176270776.0,114809187473.0,55636768816.0,2196688686.0,328958749953.0,-151020437951.0,177938312002.0,48663793160.0,5155773800371.0,2382705008686.0,-356044271821.0,0.0
CTG,2014,2,0.0,10318160877039.0,1882187220158.0,0.0,,,,,,,,,,,-1753639410538.0,,,,,,2414964453066.0,-530571492979.0,0.0,1884392960087.0,-2205739929.0,1882187220158.0,CTG,income_statement,-692642065967.0,10318160877039.0,-5823083715487.0,4495077161552.0,595489330987.0,-167242508190.0,428246822797.0,71938339021.0,37039661687.0,-130281073822.0,447722736903.0,-542825998445.0,-95103261542.0,54328279878.0,4861245929571.0,3107606519033.0,-530571492979.0,810.0
CTG,2014,1,0.0,10276953122961.0,1135626779842.0,0.0,,,,,,,,,,,-2505395589462.0,,,,,,1457704546934.0,-317745507021.0,0.0,1139959039913.0,-4332260071.0,1135626779842.0,CTG,income_statement,-1024812934033.0,10276953122961.0,-6052723284513.0,4224229838448.0,550347669013.0,-157530491810.0,392817177203.0,122511660979.0,23324338313.0,-5314926178.0,559288263097.0,-369647001555.0,189641261542.0,40703720122.0,4987913070429.0,2482517480967.0,-317745507021.0,0.0
CTG,2013,4,0.0,10529815406900.0,498113130779.0,0.0,,,,,,,,,,,-3055692473079.0,,,,,,705755604780.0,-203362355441.0,0.0,502393249339.0,-4280118560.0,498113130779.0,CTG,income_statement,-1465121999959.0,10529815406900.0,-6196493739012.0,4333321667888.0,589006197946.0,-153886798254.0,435119399692.0,112553750843.0,1703737792.0,-66026059292.0,505226786923.0,-111304743556.0,393922043367.0,15975537528.0,5226570077818.0,2170877604739.0,-203362355441.0,0.0
CTG,2013,3,0.0,10791494846290.0,2186729304089.0,0.0,,,,,,,,,,,-2198744068498.0,,,,,,2910183518164.0,-720111165138.0,0.0,2190072353026.0,-3343048937.0,2186729304089.0,CTG,income_statement,-796825875834.0,10791494846290.0,-6161684977302.0,4629809868988.0,569524009611.0,-148087244642.0,421436764969.0,103339746331.0,7810358388.0,2421092378.0,793844456471.0,-102100226826.0,691744229645.0,49191401797.0,5905753462496.0,3707009393998.0,-720111165138.0,0.0
CTG,2013,2,0.0,11285481505661.0,2069842317292.0,3.0,,,,,,,,,,,-2084690538043.0,,,,,,2766741412682.0,-691897547925.0,0.0,2074843864757.0,-5001547465.0,2069842317292.0,CTG,income_statement,-514688879389.0,11285481505661.0,-6618170344964.0,4667311160697.0,503685650642.0,-137201713578.0,366483937064.0,-22721065375.0,4036203118.0,90709735282.0,365544819856.0,-163979851869.0,201564967987.0,58735891341.0,5366120830114.0,3281430292071.0,-691897547925.0,0.0
CTG,2013,1,0.0,11670995494339.0,1039551682708.0,0.0,,,,,,,,,,,-2567419461957.0,,,,,,1369818587318.0,-327362452075.0,0.0,1042456135243.0,-2904452535.0,1039551682708.0,CTG,income_statement,-1346409120611.0,11670995494339.0,-7025176655036.0,4645818839303.0,434485349358.0,-130451286422.0,304034062936.0,98278065375.0,5182796882.0,-3710735282.0,267061180144.0,-83087148131.0,183974032013.0,50070108659.0,5283647169886.0,2716227707929.0,-327362452075.0,0.0
CTG,2012,2,1.0,13061626444941.0,570616364646.0,0.0,,,,,,,,,,,-3213920973410.0,,,,,,774766627685.0,-199233319806.0,0.0,575533307879.0,-4916943233.0,570616364646.0,CTG,income_statement,-1490292184544.0,13061626444941.0,-8376667514932.0,4684958930009.0,457869868314.0,-138767820579.0,319102047735.0,78590864249.0,17023163497.0,40362951879.0,330982023413.0,-23168859164.0,307813164249.0,31128664021.0,5478979785639.0,2265058812229.0,-199233319806.0,0.0
CTG,2010,2,1.0,7601096578370.0,662484236724.0,1.0,,,,,,,,,,,-2119226558284.0,,,,,,1006277995966.0,-322947616800.0,-18704000000.0,664626379166.0,-2142142442.0,662484236724.0,CTG,income_statement,-424752924208.0,7601096578370.0,-4523688658106.0,3077407920264.0,440695554846.0,-68934595106.0,371760959740.0,-101484056621.0,-10480318060.0,9079440280.0,141149641284.0,2963599671.0,144113240955.0,59860291900.0,3550257478458.0,1431030920174.0,-341651616800.0,0.0
CTG,2009,2,0.0,4185637942942.0,384864230287.0,0.0,,,,,,,,,,,-1526781736486.0,,,,,,872592275657.0,-487854045370.0,0.0,384738230287.0,126000000.0,384864230287.0,CTG,income_statement,78575000000.0,4185637942942.0,-2354634788272.0,1831003154670.0,206118771396.0,-57527940301.0,148590831095.0,68579026629.0,54168000000.0,8698965215.0,-38240500300.0,233296027734.0,195055527434.0,14703507100.0,2320799012143.0,794017275657.0,-487854045370.0,0.0
PNJ,2025,4,0.0,9750682769282.0,1218909077096.0,1.0,57911834306.0,-33497968561.0,9750682769282.0,-127690260415.0,9622992508867.0,-7204336172931.0,2418656335936.0,-51025520609.0,0.0,-651012549569.0,-257948584104.0,1516581515960.0,10211754257.0,0.0,-5120207745.0,5091546512.0,1521673062472.0,-428884585857.0,126120600481.0,1218909077096.0,0.0,1218909077096.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2025,3,0.0,8235605818836.0,495704579157.0,1.0,28316452524.0,-24063535984.0,8235605818836.0,-100101386950.0,8135504431886.0,-6528295097135.0,1607209334751.0,-30542311945.0,0.0,-757519233823.0,-240445601201.0,607018640306.0,21994473824.0,0.0,-3259932669.0,18734541155.0,625753181461.0,-130405520743.0,356918439.0,495704579157.0,0.0,495704579157.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2025,2,0.0,7664650341452.0,436997250814.0,0.0,24247252211.0,-32672703171.0,7664650341452.0,-82200767315.0,7582449574137.0,-5953476887712.0,1628972686425.0,-46383324153.0,0.0,-855377092177.0,-203474925240.0,547984597066.0,3881275230.0,0.0,-4473052728.0,-591777498.0,547392819568.0,-114022880028.0,3627311274.0,436997250814.0,0.0,436997250814.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2025,1,0.0,9759650683046.0,677727918125.0,0.0,37651295970.0,-28848391611.0,9759650683046.0,-124554268544.0,9635096414502.0,-7586766309432.0,2048330105070.0,-37041222735.0,0.0,-1005693098938.0,-193730064073.0,849517015294.0,5101406769.0,0.0,-381163358.0,4720243411.0,854237258705.0,-176173197786.0,-336142794.0,677727918125.0,0.0,677727918125.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2024,4,0.0,8698354347717.0,730874615219.0,0.0,28464720237.0,-22299606340.0,8698354347717.0,-117666403375.0,8580687944342.0,-6788226293053.0,1792461651289.0,-42880802744.0,0.0,-706245531150.0,-208079390615.0,863720647017.0,1763875043.0,0.0,-1367830859.0,396044184.0,864116691201.0,-200193714714.0,66951638732.0,730874615219.0,0.0,730874615219.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2024,3,0.0,7225789054822.0,215835184688.0,0.0,24894603085.0,-6438807781.0,7225789054822.0,-96177851976.0,7129611202846.0,-5879029148365.0,1250582054481.0,-12977217232.0,0.0,-766263429454.0,-181399247814.0,314836763066.0,4025704624.0,0.0,-843217720.0,3182486904.0,318019249970.0,-102557681117.0,373615835.0,215835184688.0,0.0,215835184688.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2024,2,0.0,9605148405359.0,428399456272.0,0.0,7995610373.0,-3455400059.0,9605148405359.0,-86449270145.0,9518699135214.0,-8037576726745.0,1481122408469.0,-13817663903.0,0.0,-759168704925.0,-179166732604.0,536964917410.0,2304026464.0,0.0,-5991529873.0,-3687503409.0,533277414001.0,-114798729943.0,9920772214.0,428399456272.0,0.0,428399456272.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2024,1,0.0,12703109376152.0,737807026767.0,0.0,14212504829.0,-14581491649.0,12703109376152.0,-109270487169.0,12593838888983.0,-10444502363030.0,2149336525953.0,-23941097072.0,0.0,-975897025645.0,-227103984889.0,936606923176.0,1920174994.0,0.0,-2928004034.0,-1007829040.0,935599094136.0,-197926764862.0,134697493.0,737807026767.0,0.0,737807026767.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2023,4,0.0,9864419377152.0,631966388436.0,0.0,20255561971.0,-22665862084.0,9864419377152.0,-104037695705.0,9760381681447.0,-8008978267079.0,1751403414368.0,-29152250574.0,0.0,-762857681713.0,-187413955658.0,792235088394.0,5444094007.0,0.0,-1034009125.0,4410084882.0,796645173276.0,-165182370816.0,503585976.0,631966388436.0,0.0,631966388436.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2023,3,0.0,6991365461426.0,253335092696.0,0.0,26923762232.0,-28872005523.0,6991365461426.0,-73819543649.0,6917545917777.0,-5719911177800.0,1197634739977.0,-36011980249.0,0.0,-697134967387.0,-175225524113.0,316186030460.0,617662222.0,0.0,-3512242463.0,-2894580241.0,313291450219.0,-60233629635.0,277272112.0,253335092696.0,0.0,253335092696.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2023,2,0.0,6735502069493.0,337588916971.0,0.0,36075541696.0,-32980727532.0,6735502069493.0,-72186968721.0,6663315100772.0,-5453714405037.0,1209600695735.0,-38669323444.0,0.0,-615791482206.0,-156324780155.0,434890651626.0,2353786061.0,0.0,-1173629656.0,1180156405.0,436070808031.0,-97439239686.0,-1042651374.0,337588916971.0,0.0,337588916971.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2023,1,0.0,9890322046882.0,748593747032.0,0.0,14128237981.0,-34050208964.0,9890322046882.0,-94635550449.0,9795686496433.0,-7895734399319.0,1899952097114.0,-38304682715.0,0.0,-759985338496.0,-174553964792.0,941236349092.0,3447066092.0,0.0,-1514134336.0,1932931756.0,943169280848.0,-194769308023.0,193774207.0,748593747032.0,0.0,748593747032.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2022,4,0.0,8395977590240.0,466418918591.0,0.0,37001720651.0,-33105656391.0,8395977590240.0,-93995740578.0,8301981849662.0,-6833077187073.0,1468904662589.0,-57113684457.0,0.0,-706660621786.0,-150744178642.0,591387898355.0,2444721244.0,0.0,-2507725083.0,-63003839.0,591324894516.0,-137723904199.0,12817928274.0,466418918591.0,0.0,466418918591.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2022,3,7.0,7443393767391.0,252270411779.0,3.0,6432035915.0,-17219503105.0,7443393767391.0,-79413872253.0,7363979895138.0,-6116067808131.0,1247912087007.0,-32690598088.0,0.0,-725579722879.0,-167343706400.0,328730095555.0,2376687235.0,0.0,-1476171705.0,900515530.0,329630611085.0,-77698468462.0,338269156.0,252270411779.0,0.0,252270411779.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2022,2,1.0,8142746815789.0,367034289466.0,1.0,10439323933.0,-12947618655.0,8142746815789.0,-74971254021.0,8067775561768.0,-6618589759477.0,1449185802291.0,-22072990125.0,0.0,-753892387936.0,-180600090579.0,503059657584.0,3283747446.0,0.0,-29346032351.0,-26062284905.0,476997372679.0,-110129298238.0,166215025.0,367034289466.0,0.0,367034289466.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
